Date,Open,High,Low,Close,Adj Close,Volume
2020-06-16,160.119995,160.119995,155.910004,158.610001,156.610077,4581200
2020-06-17,159.139999,159.210007,157.410004,157.839996,155.849777,3700700
2020-06-18,156.940002,158.300003,156.429993,157.970001,155.978134,2797800
2020-06-19,159.860001,159.880005,156.289993,157.080002,155.099350,3824900
2020-06-22,156.949997,158.300003,156.050003,158.169998,156.175613,2561300
2020-06-23,159.630005,159.979996,158.550003,158.789993,156.787796,2555100
2020-06-24,157.630005,157.910004,153.410004,154.479996,152.532135,3729100
2020-06-25,153.429993,155.770004,152.410004,155.639999,154.377045,4029200
2020-06-26,154.979996,155.169998,151.729996,152.020004,150.786423,3506400
2020-06-29,152.699997,154.279999,151.350006,154.250000,152.998337,3161600
2020-06-30,154.479996,157.220001,154.070007,156.529999,155.259827,4317400
2020-07-01,156.899994,158.039993,156.610001,157.440002,156.162445,3640900
2020-07-02,159.300003,160.070007,157.860001,158.070007,156.787338,3181600
2020-07-06,160.500000,161.029999,159.860001,160.559998,159.257126,3307600
2020-07-07,159.789993,160.880005,158.729996,158.929993,157.640350,2357400
2020-07-08,159.309998,160.279999,158.369995,160.229996,158.929794,2434900
2020-07-09,160.559998,160.699997,157.279999,159.240005,157.947845,2465200
2020-07-10,159.169998,161.009995,158.429993,160.949997,159.643951,2391800
2020-07-13,162.080002,163.550003,158.880005,159.210007,157.918076,4694700
2020-07-14,158.500000,161.419998,157.740005,161.300003,159.991119,3221300
2020-07-15,163.330002,163.639999,161.669998,163.300003,161.974899,3747800
2020-07-16,162.160004,162.800003,161.679993,162.570007,161.250824,2190700
2020-07-17,163.089996,163.509995,162.070007,163.190002,161.865784,2141100
2020-07-20,163.020004,164.860001,162.600006,164.440002,163.105652,3113200
2020-07-21,165.639999,165.899994,164.369995,164.910004,163.571823,2347500
2020-07-22,164.589996,165.940002,164.589996,165.770004,164.424850,2723200
2020-07-23,165.610001,166.199997,163.080002,163.960007,162.629547,3114900
2020-07-24,162.830002,163.399994,161.899994,162.690002,161.369843,2360800
2020-07-27,163.059998,164.100006,162.630005,164.089996,162.758484,2423500
2020-07-28,163.619995,164.229996,162.779999,162.889999,161.568222,1904900
2020-07-29,163.460007,165.429993,163.460007,165.050003,163.710693,2153300
2020-07-30,163.440002,164.869995,162.410004,164.679993,163.343689,2473300
2020-07-31,165.539993,165.619995,162.960007,165.520004,164.176880,3159700
2020-08-03,166.470001,167.300003,166.149994,166.960007,165.605209,4341600
2020-08-04,166.610001,167.619995,166.529999,167.619995,166.259842,2811700
2020-08-05,168.479996,168.919998,168.300003,168.839996,167.469940,2683000
2020-08-06,168.619995,169.779999,168.279999,169.660004,168.283295,2150900
2020-08-07,169.220001,169.949997,168.600006,169.800003,168.422150,2193100
2020-08-10,170.029999,170.389999,169.050003,170.270004,168.888336,2496700
2020-08-11,171.000000,171.330002,168.479996,168.899994,167.529449,3124600
2020-08-12,170.369995,171.520004,170.339996,171.160004,169.771118,3365400
